model_name,mean_score,std_score,fold_scores,best_model_path
gradient_boosting,0.8405687570303713,0.029938912846971807,"[0.8671875, 0.8671875, 0.7952755905511811, 0.8267716535433071, 0.8346456692913385, 0.8110236220472441, 0.8818897637795275]",
xgboost,0.838310250281215,0.03364828448188487,"[0.875, 0.8671875, 0.8031496062992126, 0.8110236220472441, 0.8346456692913385, 0.7952755905511811, 0.8818897637795275]",
weighted_soft_voting,0.836078107424072,0.03376422459638533,"[0.8671875, 0.859375, 0.8031496062992126, 0.8267716535433071, 0.8346456692913385, 0.7795275590551181, 0.8818897637795275]",
soft_voting,0.836060531496063,0.04659468847021817,"[0.8671875, 0.875, 0.7874015748031497, 0.8188976377952756, 0.8346456692913385, 0.7637795275590551, 0.905511811023622]",
stacking,0.8338283886389201,0.03352152253092802,"[0.859375, 0.8671875, 0.7952755905511811, 0.8267716535433071, 0.8346456692913385, 0.7795275590551181, 0.8740157480314961]",
lightgbm,0.8326947412823397,0.03875858572736781,"[0.8515625, 0.8828125, 0.7795275590551181, 0.8188976377952756, 0.84251968503937, 0.7795275590551181, 0.8740157480314961]",
random_forest,0.8293465269966254,0.03024935419175885,"[0.859375, 0.8515625, 0.8110236220472441, 0.8110236220472441, 0.84251968503937, 0.7716535433070866, 0.8582677165354331]",
catboost,0.8293289510686164,0.03922946541019527,"[0.859375, 0.8671875, 0.7795275590551181, 0.8031496062992126, 0.8346456692913385, 0.7795275590551181, 0.8818897637795275]",
bagging,0.8248558773903263,0.03048327982966053,"[0.8828125, 0.8203125, 0.8267716535433071, 0.7874015748031497, 0.8267716535433071, 0.7874015748031497, 0.84251968503937]",
logreg,0.8114278683914512,0.02465681894530001,"[0.8359375, 0.8046875, 0.7952755905511811, 0.7874015748031497, 0.8110236220472441, 0.7874015748031497, 0.8582677165354331]",
dnn,0.6274254780652418,0.02141755019431434,"[0.625, 0.59375, 0.6220472440944882, 0.6692913385826772, 0.6141732283464567, 0.6377952755905512, 0.6299212598425197]",artifacts/models/dnn_fold_4.pth
